01.04.2018 13:58:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 14719
01.04.2018 13:58:35 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 37939
01.04.2018 13:58:35 [INFO] Method: get_order_book , Requests count: 66 , Average request time (ms): 13868
01.04.2018 14:00:05 [INFO] Method: get_order_book , Requests count: 82 , Average request time (ms): 18766
01.04.2018 14:00:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 12903
01.04.2018 14:01:35 [INFO] Method: get_order_book , Requests count: 112 , Average request time (ms): 15641
01.04.2018 14:01:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 37781
01.04.2018 14:03:05 [INFO] Method: get_order_book , Requests count: 37 , Average request time (ms): 23216
01.04.2018 14:03:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1177
01.04.2018 14:03:19 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@185.22.153.36:3130 request_time:123741 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at TLSSocket.onHangUp (_tls_wrap.js:1120:19)\n    at Object.onceWrapper (events.js:293:19)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 14:03:27 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@46.17.40.44:3131 request_time:123698 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at TLSSocket.onHangUp (_tls_wrap.js:1120:19)\n    at Object.onceWrapper (events.js:293:19)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 14:03:27 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@185.22.153.36:3130 request_time:122822 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at createHangUpError (_http_client.js:302:15)\n    at TLSSocket.socketOnEnd (_http_client.js:394:23)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 14:04:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1138
01.04.2018 14:04:35 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 1291
01.04.2018 14:04:35 [INFO] Method: get_order_book , Requests count: 423 , Average request time (ms): 983
01.04.2018 14:06:05 [INFO] Method: get_order_book , Requests count: 506 , Average request time (ms): 992
01.04.2018 14:06:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1135
01.04.2018 14:06:05 [INFO] Method: get_deposit_address , Requests count: 1 , Average request time (ms): 1108
01.04.2018 14:06:05 [INFO] Method: get_deposit_transactions , Requests count: 5 , Average request time (ms): 978
01.04.2018 14:07:35 [INFO] Method: get_deposit_transactions , Requests count: 83 , Average request time (ms): 999
01.04.2018 14:07:35 [INFO] Method: get_order_book , Requests count: 439 , Average request time (ms): 974
01.04.2018 14:07:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1089
01.04.2018 14:09:05 [INFO] Method: get_order_book , Requests count: 443 , Average request time (ms): 978
01.04.2018 14:09:05 [INFO] Method: get_deposit_transactions , Requests count: 84 , Average request time (ms): 990
01.04.2018 14:09:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1156
01.04.2018 14:10:35 [INFO] Method: get_order_book , Requests count: 447 , Average request time (ms): 983
01.04.2018 14:10:35 [INFO] Method: get_deposit_transactions , Requests count: 83 , Average request time (ms): 991
01.04.2018 14:10:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1167
01.04.2018 14:12:05 [INFO] Method: get_order_book , Requests count: 453 , Average request time (ms): 979
01.04.2018 14:12:05 [INFO] Method: get_deposit_transactions , Requests count: 81 , Average request time (ms): 1014
01.04.2018 14:12:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1239
01.04.2018 14:13:35 [INFO] Method: get_order_book , Requests count: 450 , Average request time (ms): 980
01.04.2018 14:13:35 [INFO] Method: get_deposit_transactions , Requests count: 81 , Average request time (ms): 997
01.04.2018 14:13:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1112
01.04.2018 14:13:35 [INFO] Method: currency_balance , Requests count: 1 , Average request time (ms): 1114
01.04.2018 14:13:35 [INFO] Method: order_sell_market , Requests count: 1 , Average request time (ms): 1144
01.04.2018 14:15:05 [INFO] Method: get_order_book , Requests count: 514 , Average request time (ms): 977
01.04.2018 14:15:05 [INFO] Method: order_sell_market , Requests count: 2 , Average request time (ms): 1141
01.04.2018 14:15:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1097
01.04.2018 14:16:35 [INFO] Method: get_order_book , Requests count: 516 , Average request time (ms): 981
01.04.2018 14:16:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1122
01.04.2018 14:18:05 [INFO] Method: get_order_book , Requests count: 507 , Average request time (ms): 978
01.04.2018 14:18:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1165
01.04.2018 14:19:35 [INFO] Method: get_order_book , Requests count: 512 , Average request time (ms): 975
01.04.2018 14:19:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1129
01.04.2018 14:21:05 [INFO] Method: get_order_book , Requests count: 513 , Average request time (ms): 903
01.04.2018 14:21:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1179
01.04.2018 14:22:35 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 746
01.04.2018 14:22:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 937
01.04.2018 14:24:05 [INFO] Method: get_order_book , Requests count: 514 , Average request time (ms): 752
01.04.2018 14:24:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 901
01.04.2018 14:25:35 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 754
01.04.2018 14:25:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 964
01.04.2018 14:27:05 [INFO] Method: get_order_book , Requests count: 523 , Average request time (ms): 827
01.04.2018 14:27:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1121
01.04.2018 14:28:35 [INFO] Method: get_order_book , Requests count: 508 , Average request time (ms): 980
01.04.2018 14:28:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1105
01.04.2018 14:30:05 [INFO] Method: get_order_book , Requests count: 509 , Average request time (ms): 985
01.04.2018 14:30:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1134
01.04.2018 14:31:35 [INFO] Method: get_order_book , Requests count: 513 , Average request time (ms): 984
01.04.2018 14:31:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1107
01.04.2018 14:33:05 [INFO] Method: get_order_book , Requests count: 508 , Average request time (ms): 978
01.04.2018 14:33:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1143
01.04.2018 14:34:35 [INFO] Method: get_order_book , Requests count: 512 , Average request time (ms): 1018
01.04.2018 14:34:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1111
01.04.2018 14:36:05 [INFO] Method: get_order_book , Requests count: 516 , Average request time (ms): 977
01.04.2018 14:36:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1096
01.04.2018 14:37:35 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 977
01.04.2018 14:37:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1101
01.04.2018 14:39:05 [INFO] Method: get_order_book , Requests count: 512 , Average request time (ms): 918
01.04.2018 14:39:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1077
01.04.2018 14:40:35 [INFO] Method: get_order_book , Requests count: 529 , Average request time (ms): 751
01.04.2018 14:40:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1015
